Date,Wage,Fuel,Alchohole,Transfer,Stocks,Fast Food,Not Sure,Shopping,Elec. Hardware,Insur. and Reg.,Hair and Beauty,Elec. Softwear,Health,Home Hardwear,Fun Shopping,Rent,Transport,Cashout
['26/03/2020'],,,,,,-7.75,,,,,,,,,,,,
['25/03/2020'],,-73.82,,,,,,-44.52,,,,,,,,,,
['24/03/2020'],,,-52.0,,,,,-9.2,,,,,,,,,,
['23/03/2020'],636.62,,,,,,,"636.62, -11.27",,,,,,,,,,
['20/03/2020'],,,,,,,,-5.5,,,,,,,,,,
['19/03/2020'],,,,,-527.2,,,-14.99,,,-15.58,,,,,,,
['18/03/2020'],,,,,,,,-10.72,,,,,,,,,,
['17/03/2020'],,,-22.0,100.0,,,,-9.5,,,,,,,,,,
['16/03/2020'],636.62,,,,,,,,,,,,,,,,,
['14/03/2020'],,-69.2,,,,,,,,,,,,,,,,
['13/03/2020'],,,,,,,,,,-95.18,,,,-8.9,,,,
['12/03/2020'],,,,,-10.0,,,-30.07,,,,,,,,,,
['11/03/2020'],,,,-1100.0,,-28.7,,,,,,,,,,,,
['10/03/2020'],,,,100.0,,,,,,,,,,,,,,
['09/03/2020'],636.62,,,,,,,,,,,,,,,,,
['08/03/2020'],,,-33.99,,,,,,,,,,,,,,,
['07/03/2020'],,-67.15,,,,-15.99,,,,,,,,,,,,
['04/03/2020'],,,,,,,,-11.06,,,,,,,,,,
['03/03/2020'],,-59.52,,100.0,,,,,,,,,,,-44.0,,,
['02/03/2020'],636.62,,"636.62, -8.98",,,,,,,,,,,,,,,
['01/03/2020'],,,-37.96,,,,,,,,,,,,,,,
['29/02/2020'],,,,,,-9.25,,-9.31,,,-12.72,,,,,,,
['28/02/2020'],,,,,,,,,,,,,,,-44.0,,,
['27/02/2020'],,,,,,-6.2,,,,,-35.95,,,,,,,
['26/02/2020'],,,-7.0,,,,,-16.0,-25.0,,,,,,,,,
['25/02/2020'],,,,100.0,,,,,,,,,,,,,,
['24/02/2020'],636.62,,,,,,,,,,,,,,,,,
['23/02/2020'],,,,,,,,-39.91,,,,,,,,,,-200.0
['22/02/2020'],,-72.66,,100.0,,,,-16.7,,,,,,,,,,
['21/02/2020'],,,-33.99,,,,,,,,,,,,,,,
['20/02/2020'],,,,-1000.0,,-18.8,,,,,,,,,,,,
['19/02/2020'],,,,,,,,-50.95,,,,,,,,,-20.3,
['18/02/2020'],,,,100.0,,,,,,,,,,,,,,
